Date,Open,High,Low,Close,Average,Volume
02/01/2020,56.9,57.4,56.3,57,56.88,518870
03/01/2020,57.2,57.7,56.8,57.5,57.38,777690
06/01/2020,57.5,57.5,56.6,56.6,57.04,582020
07/01/2020,56.8,57.3,56.7,56.8,56.97,819680
08/01/2020,56.2,56.5,55.6,56,56,857690
09/01/2020,56.6,57.2,56.5,57,56.97,527680
10/01/2020,57,57.7,56.5,56.5,57.12,1524930
13/01/2020,56.6,57.1,56.4,57,56.8,438810
14/01/2020,57,57.3,56.6,56.6,56.95,349410
15/01/2020,57,57,56,56.5,56.3,1991290
16/01/2020,56.5,56.9,56.2,56.2,56.37,1818210
17/01/2020,56.1,56.4,55,55,55.72,666940
20/01/2020,55,55.1,53,54.3,54.27,1076490
21/01/2020,54.3,54.9,54.1,54.5,54.32,369330
22/01/2020,54.2,54.6,53.3,53.4,53.8,560210
30/01/2020,53,53,50,50.1,50.78,2181110
31/01/2020,50,51.7,50,50.1,50.72,791350
03/02/2020,46.7,50,46.6,50,47.56,2454990
04/02/2020,50.1,51,49.5,50,50.13,1879900
05/02/2020,50.5,50.5,49.2,50,49.75,1586190
06/02/2020,49.95,49.95,47.5,49.9,48.9,2769970
07/02/2020,49.8,49.9,48.8,49.9,49.46,1232290
10/02/2020,49.9,49.9,48.8,49.9,49.55,620280
11/02/2020,49.2,51.7,49.2,49.9,50.51,2131860
12/02/2020,50,50.7,50,50.5,50.46,804720
13/02/2020,50.7,50.9,50.1,50.2,50.37,547970
14/02/2020,50.2,50.2,49.45,49.8,49.75,1120310
17/02/2020,49.8,49.8,48.95,49.7,49.42,1492320
18/02/2020,49.2,49.7,49.2,49.7,49.54,631220
19/02/2020,49.6,51.7,49.6,50.4,50.98,1818680
20/02/2020,50.9,51.4,50.4,51.1,50.87,1365480
21/02/2020,51.5,54,51.5,53,53.18,2161050
24/02/2020,51.6,52.5,51,51.1,51.63,1429040
25/02/2020,50.5,51.3,49.8,50.6,50.57,896710
26/02/2020,49.8,50.3,49,49.75,49.68,1252450
27/02/2020,49.2,49.8,48.8,49.7,49.22,1642080
28/02/2020,49.7,49.7,47.7,49,48.53,2255610
02/03/2020,48.35,49,47.85,49,48.31,1668150
03/03/2020,49.2,49.8,48.5,49,49.22,1225730
04/03/2020,48.9,49.35,48.65,49,49.04,1426280
05/03/2020,49.45,52,49.15,50.9,50.71,1860900
06/03/2020,50.8,54.4,50.1,54.4,52.24,2794380
09/03/2020,53,56.8,51,52,53.83,6393130
10/03/2020,52.9,53.8,52,52.4,52.96,2850320
11/03/2020,53.3,53.3,49.2,49.95,50.86,8353280
12/03/2020,47.2,49.95,46.5,49.95,47.38,4272710
13/03/2020,46.5,49.95,46.5,49.85,47.96,18181630
16/03/2020,49,49.8,47.5,49.5,48.93,3241820
17/03/2020,48,49.5,47.7,49.5,49.12,3877150
18/03/2020,49.5,49.7,48.8,49.4,49.24,5615340
19/03/2020,48.5,49.2,48.05,49.2,48.77,3450310
20/03/2020,49,49.2,47.8,49.2,48.68,4120820
23/03/2020,48.1,49.2,46.4,49.2,48.2,5025020
24/03/2020,48.5,49.1,48.3,49.1,48.88,6618350
25/03/2020,49,49.7,48.5,49.1,49.03,13092290
26/03/2020,49,49.2,48.55,49,48.97,2763490
27/03/2020,48.7,51,48.5,49.3,50.07,4825920
30/03/2020,48.5,49.1,48.4,49.1,49,1473040
31/03/2020,49.1,49.9,48.2,49,48.92,3667100
01/04/2020,48.8,50,48.8,49.2,49.45,3798880
03/04/2020,49.6,52.3,49.5,52.3,51.32,1841480
06/04/2020,53.3,55.9,53.1,55.9,54.93,2556830
07/04/2020,56.8,58.4,55.1,57.5,56.84,2099700
08/04/2020,56.1,58.9,55.5,58.9,57.02,1338040
09/04/2020,59,59.7,58.1,59.4,59.11,2047890
10/04/2020,59,62.5,58.3,60.2,60.65,1914340
13/04/2020,60.2,61.4,58.1,58.1,59.77,2106950
14/04/2020,58,61,57.2,61,58.66,1449880
15/04/2020,61,62.3,60.7,60.9,61.32,2467850
16/04/2020,59.6,61.2,59.6,60.8,60.33,6581480
17/04/2020,61,61.4,60.5,60.6,60.92,7298858
20/04/2020,60.6,61,59.4,59.4,59.79,1843690
21/04/2020,58.1,58.8,56.1,56.6,57.32,1889660
22/04/2020,55.5,58.6,55.5,58.2,57.4,1062970
23/04/2020,59.5,59.8,58.2,58.2,58.61,842920
24/04/2020,57.8,59.5,57.2,59.5,58.18,1218690
27/04/2020,60,60.5,58.5,58.5,59.6,1243900
28/04/2020,58.5,60.3,58,59.7,59.4,1825230
29/04/2020,59.7,59.9,58.8,58.8,59.22,1153990
04/05/2020,57.2,58.7,57.1,57.3,57.76,1148810
05/05/2020,57.2,57.5,56.4,56.4,56.72,1098980
06/05/2020,57,58,55.7,58,56.83,1493180
07/05/2020,58.8,59,58,58.8,58.54,780600
08/05/2020,59,62.4,58.9,61,60.92,3319850
11/05/2020,61.5,63.1,60.6,63.1,61.82,1838950
12/05/2020,63,63.2,61.8,62,62.45,1147270
13/05/2020,61.3,62.5,60.5,61.9,61.4,1618740
14/05/2020,61.5,65.2,61,63.9,63.56,41490177
15/05/2020,64.5,64.9,62.1,62.1,63.79,1305890
18/05/2020,62.1,62.8,61.4,62.5,62.15,840070
19/05/2020,63.3,64.4,62.5,63,63.38,2046440
20/05/2020,62.5,63.9,62.5,63.8,63.59,1063400
21/05/2020,63.8,64,62.8,63.8,63.52,1513470
22/05/2020,63.5,63.7,62,62,62.77,1310850
25/05/2020,62.2,62.7,61.5,61.8,62.06,1354620
26/05/2020,62,62.8,61.9,62.5,62.38,1173240
27/05/2020,63.2,64.6,62.5,62.5,63.66,2189080
28/05/2020,63.4,63.4,62.4,62.8,62.8,797480
29/05/2020,62.8,62.9,62.2,62.7,62.52,798100
01/06/2020,62.7,63.7,62.7,63.1,63.15,1076880
02/06/2020,63.6,65.8,63.4,63.9,64.54,4210080
03/06/2020,64.5,64.5,63.6,64,64.03,855840
04/06/2020,64.6,64.6,63.3,63.5,63.82,1662840
05/06/2020,63,63.3,62.5,63,62.81,1846680
08/06/2020,63.4,64.4,62.8,63.4,63.43,1758860
09/06/2020,63.5,64.2,62.7,63,63.47,1614250
10/06/2020,62.9,63,62.5,62.9,62.75,1210600
11/06/2020,63.3,64.1,58.5,58.5,61.88,5701200
12/06/2020,57,58.7,57,58.5,57.97,3042060
15/06/2020,58.5,58.9,55.3,56.4,56.65,4107530
16/06/2020,57.4,57.8,56.5,57.6,57.15,1492420
17/06/2020,58,58.2,56.9,57.5,57.5,1155980
18/06/2020,57,57.4,55.9,57,56.83,1910990
19/06/2020,57.6,57.7,57,57,57.1,2419830
22/06/2020,57.5,58.5,57.5,58.3,58.12,1981260
23/06/2020,58,59.5,58,58.4,58.7,10993290
24/06/2020,58.4,58.8,56.5,57.2,57.94,935890
25/06/2020,56.6,57,56.2,56.7,56.54,4596510
26/06/2020,56.7,57.9,56.4,56.4,56.93,614970
29/06/2020,56.4,56.4,53.9,55.1,54.9,1720440
30/06/2020,55.9,56.1,54,54.1,54.77,1378930
01/07/2020,54.4,56.1,54,55.5,55.01,985870
02/07/2020,56,57.6,55.5,57.2,56.56,1094380
03/07/2020,57.2,57.9,56.7,57.2,57.07,699930
06/07/2020,57.2,58,57.1,57.6,57.68,855780
07/07/2020,57.9,58.4,57,57,57.76,979250
08/07/2020,57,57.5,57,57,57.17,467170
09/07/2020,57.1,57.7,56.9,57.4,57.26,1097650
10/07/2020,57.4,57.6,56,56.9,57.1,934900
13/07/2020,57,57.5,56.5,56.6,56.9,705070
14/07/2020,56.4,56.6,55.7,56,56.13,929240
15/07/2020,56.5,56.7,55.7,55.7,56.12,1270200
16/07/2020,56,57,55.5,57,56.13,1078700
17/07/2020,56.7,56.8,56,56.2,56.3,856110
20/07/2020,56,56,55,55,55.66,964440
21/07/2020,55,55.6,54.3,54.7,54.71,1670960
22/07/2020,54.7,55.2,54.2,54.2,54.73,1125760
23/07/2020,54.2,54.6,53.6,53.9,54.01,762030
24/07/2020,53.7,53.9,50.8,52,52.39,2045780
27/07/2020,48.9,51.5,48.9,49.5,49.69,2986250
28/07/2020,50,51,49.5,50.5,50.278,1795120
29/07/2020,49.5,50,49,49.35,49.34,1352670
30/07/2020,49.9,50.1,49.5,49.8,49.92,821650
31/07/2020,49.1,51.4,49.1,50.5,50.71,2195060
03/08/2020,50.5,52.7,50.5,52.6,51.98,1395440
04/08/2020,53.2,54.3,53.2,54,53.72,1941090
05/08/2020,53.5,55,53.2,55,54.03,1810780
06/08/2020,54.5,54.9,53.7,53.9,54.34,1178020
07/08/2020,54,54.8,53.8,54.1,54.19,959230
